logt,num,J,J-H
6.95,34,-0.894,-0.086
6.95,35,-1.492,-0.098
6.95,36,-1.5759999999999998,-0.1
6.95,37,-2.324,-0.11
6.95,38,-2.448,-0.11199999999999999
6.95,39,-2.955,-0.11800000000000001
6.95,40,-3.333,-0.11599999999999999
6.95,41,-3.4789999999999996,-0.11599999999999999
6.95,42,-4.051,-0.11
6.95,43,-4.697,-0.096
6.95,44,-5.05,-0.091
6.95,45,-5.2379999999999995,-0.08900000000000001
6.95,46,-5.224,-0.09
6.95,47,-5.101,-0.09
6.95,48,-5.031000000000001,-0.1
6.95,49,-5.006,-0.102
6.95,50,-5.062,-0.096
6.95,51,-5.119,-0.09
6.95,52,-5.183,-0.09
6.95,53,-5.27,-0.09
6.95,54,-5.362,-0.09
6.95,55,-5.45,-0.083
6.95,56,-5.577999999999999,-0.08
6.95,57,-5.704,-0.079
6.95,58,-5.803,-0.077
6.95,59,-5.843999999999999,-0.077
6.95,60,-5.966,-0.07200000000000001
6.95,61,-6.072,-0.066
6.95,62,-6.185,-0.059000000000000004
6.95,63,-6.336,-0.051
6.95,64,-6.475,-0.044000000000000004
6.95,65,-6.587999999999999,-0.04
6.95,66,-6.74,-0.04
6.95,67,-6.86,-0.033
6.95,68,-7.034,-0.027999999999999997
6.95,69,-7.1739999999999995,-0.02
6.95,70,-7.27,-0.02
6.95,71,-7.431,-0.006999999999999999
6.95,72,-7.5360000000000005,0.0
6.95,73,-7.647,0.01
6.95,74,-7.822,0.022000000000000002
6.95,75,-7.94,0.035
6.95,76,-8.06,0.047
6.95,77,-8.229,0.07200000000000001
6.95,78,-8.346,0.10099999999999999
6.95,79,-8.514,0.14300000000000002
6.95,80,-8.63,0.19
6.95,81,-8.737,0.233
6.95,82,-8.814,0.275
6.95,83,-8.842,0.298
6.95,84,-8.867,0.32
6.95,85,-8.896,0.348
6.95,86,-8.926,0.38
6.95,87,-8.954,0.42100000000000004
6.95,88,-9.001,0.489
6.95,89,-9.015,0.53
6.95,90,-9.017999999999999,0.5720000000000001
6.95,91,-9.013,0.648
6.95,92,-9.017000000000001,0.736
6.95,93,-9.048,0.7709999999999999
6.95,94,-9.094,0.8059999999999999
6.95,95,-9.121,0.821
6.95,96,-9.152999999999999,0.8290000000000001
6.95,97,-9.185,0.838
6.95,98,-9.219,0.847
6.95,99,-9.642999999999999,0.938
7.0,0,9.187000000000001,0.6990000000000001
7.0,1,8.601,0.726
7.0,2,8.192,0.755
7.0,3,7.869,0.787
7.0,4,7.582999999999999,0.82
7.0,5,7.257999999999999,0.825
7.0,6,6.962000000000001,0.78
7.0,7,6.68,0.727
7.0,8,6.098,0.7140000000000001
7.0,9,5.518,0.672
7.0,10,4.948,0.5660000000000001
7.0,11,4.471,0.446
7.0,12,4.06,0.36200000000000004
7.0,13,3.67,0.313
7.0,14,3.248,0.259
7.0,15,2.918,0.214
7.0,16,2.645,0.185
7.0,17,2.432,0.14300000000000002
7.0,18,2.258,0.102
7.0,19,2.109,0.059000000000000004
7.0,20,1.996,0.033
7.0,21,1.8869999999999998,0.017
7.0,22,1.835,0.01
7.0,23,1.754,0.006999999999999999
7.0,24,1.581,-0.01
7.0,25,1.347,-0.03
7.0,26,1.317,-0.03
7.0,27,0.935,-0.04
7.0,28,0.606,-0.049
7.0,29,0.32299999999999995,-0.062
7.0,30,0.09,-0.062
7.0,31,-0.139,-0.068
7.0,32,-0.55,-0.076
7.0,33,-0.66,-0.081
7.0,34,-0.915,-0.086
7.0,35,-1.371,-0.091
7.0,36,-1.62,-0.1
7.0,37,-2.189,-0.11
7.0,38,-2.549,-0.11
7.0,39,-2.7969999999999997,-0.113
7.0,40,-3.358,-0.11199999999999999
7.0,41,-3.591,-0.11
7.0,42,-3.861,-0.105
7.0,43,-4.49,-0.095
7.0,44,-4.83,-0.09
7.0,45,-5.013,-0.08800000000000001
7.0,46,-5.006,-0.09
7.0,47,-4.881,-0.091
7.0,48,-4.811,-0.099
7.0,49,-4.788,-0.10099999999999999
7.0,50,-4.837,-0.095
7.0,51,-4.909,-0.091
7.0,52,-4.982,-0.09
7.0,53,-5.073,-0.09
7.0,54,-5.167000000000001,-0.087
7.0,55,-5.26,-0.08
7.0,56,-5.398,-0.08
7.0,57,-5.517,-0.078
7.0,58,-5.624,-0.075
7.0,59,-5.667999999999999,-0.07400000000000001
7.0,60,-5.784,-0.068
7.0,61,-5.894,-0.063
7.0,62,-6.007000000000001,-0.057
7.0,63,-6.148,-0.049
7.0,64,-6.2860000000000005,-0.043
7.0,65,-6.396,-0.04
7.0,66,-6.534,-0.039
7.0,67,-6.651,-0.031
7.0,68,-6.811,-0.027000000000000003
7.0,69,-6.949,-0.02
7.0,70,-7.044,-0.019
7.0,71,-7.186,-0.008
7.0,72,-7.287999999999999,0.0
7.0,73,-7.398,0.01
