#r,Jmag,J_H
3.73404,15.004,0.6709995
3.8759400000000004,15.142,0.53600025
4.63098,16.143,0.99699974
5.21622,15.677,0.7229996
4.12218,13.704,0.9580002
5.19402,16.59,0.26799965
4.90428,12.637,0.4239998
5.67474,12.809,0.47599983
4.693560000000001,15.799,0.75199986
4.370699999999999,16.405,0.31200027
3.11118,16.785,1.0339994
5.26968,13.48,0.6349993
5.49642,14.99,0.62099934
4.12992,16.204,1.1360006
5.18748,12.28,0.6090002
2.94618,15.759,0.9169998
5.26188,16.129,0.7599993
4.2179400000000005,16.083,0.9379997
6.147,14.113,0.81900024
5.12766,16.089,0.48300076
4.0539,16.777,0.8590002
2.88834,13.53,0.6729994
5.3063400000000005,16.493,0.6750002
4.85496,15.929,0.8289995
5.31036,16.441,0.8800001
4.7991,16.774,0.33300018
4.27392,16.717,2.0649986
4.63986,16.446,1.2889996
4.31988,15.606,0.7250004
4.16298,15.654,0.75300026
4.421340000000001,16.386,0.8699999
3.85338,16.874,0.53300095
5.22054,15.577,0.6069994
5.928240000000001,14.358,0.62300014
6.12672,13.312,0.50199986
5.0107800000000005,14.288,0.5629997
5.07186,7.899,0.48000002
5.46594,15.248,0.7670002
5.66064,15.141,0.8629999
5.7042600000000006,11.099,0.33199978
4.75668,12.852,0.6260004
5.7854399999999995,16.075,0.8290005
5.25978,16.031,0.98600006
5.49222,14.893,0.69699955
5.9488199999999996,14.332,0.717
5.8245,15.335,0.9630003
4.969200000000001,15.13,0.7589998
5.208,16.228,0.5830002
6.0813,13.417,0.7119999
6.15864,14.627,0.8199997
7.34106,15.855,0.6529999
6.070919999999999,15.926,0.6659994
5.472239999999999,16.291,0.9200001
7.23198,16.778,1.0089998
6.8016000000000005,15.98,0.6829996
6.33666,15.749,0.69299984
7.0785,16.372,1.0979996
6.43536,15.816,0.76399994
6.24438,15.933,0.48899937
6.72312,15.743,0.77400017
5.26212,13.537,0.52199936
5.79828,15.419,0.65499973
5.74236,15.075,0.5109997
6.92424,15.507,0.44400024
6.36504,16.505,0.9599991
6.40572,15.931,0.80200005
6.63558,15.743,0.75300026
7.695,14.994,1.0470009
7.3522799999999995,12.03,0.44299984
7.3641,12.86,1.224
6.4272599999999995,15.331,0.6600008
7.85778,16.51,0.7750006
7.9615800000000005,11.815,0.2319994
7.57866,15.964,0.6960001
7.08264,11.769,0.51900005
7.540979999999999,14.641,0.74699974
7.433879999999999,15.697,0.40100002
7.813740000000001,16.016,0.68300056
7.869960000000001,16.805,1.2080002
7.3479,16.207,0.78700066
7.03284,13.03,0.9169998
7.0281,15.859,0.7770004
7.2345,13.757,0.5450001
6.184139999999999,16.029,0.85999966
7.675859999999999,17.05,1.0979996
8.048699999999998,14.504,0.52999973
8.15976,14.608,0.8330002
8.61768,15.409,0.37400055
8.39466,16.778,0.71699905
8.18016,14.873,0.67800045
7.03872,12.163,0.5290003
6.23088,15.953,0.8470001
5.92266,16.571,1.098999
6.83586,15.792,0.842
9.11562,16.65,0.64699936
9.44034,12.919,0.8739996
8.538359999999999,16.339,0.71700096
8.6055,16.38,0.34199905
9.705480000000001,14.803,0.6140003
8.54094,16.646,0.9180002
9.163499999999999,16.376,0.605999
8.293859999999999,16.247,0.7269993
9.62094,15.941,0.56799984
9.04062,16.478,0.4619999
9.10644,16.451,0.69900036
9.25836,11.335,1.1569996
9.13494,14.753,0.56500053
9.156419999999999,13.567,0.9690008
9.59742,15.983,0.45300007
9.350340000000001,16.054,3.6610012
8.0979,16.683,0.7410002
9.839459999999999,15.881,0.6619997
9.119819999999999,15.231,0.60200024
9.90132,16.116,0.66199875
8.6649,13.929,0.6619997
8.02464,15.618,0.6630001
9.19464,16.57,0.8779993
